"구분","취업자","X15세.이상.인구","경제활동인구"
"2002년",22169,36963,22921
"2003년",22139,37340,22957
"2004년",22557,37717,23417
"2005년",22856,38300,23743
"2006년",23151,38762,23978
"2007년",23433,39170,24216
"2008년",23577,39598,24347
"2009년",23506,40092,24394
